"NUTS_ID","area_m2","area_km2"
"UKE3",1574565762.6913,1574.5657626913
"PT16",28003383578.404,28003.383578404
"PT17",3132090543.82246,3132.09054382246
"PT18",31747304237.0316,31747.3042370316
"PT20",2364163750.36041,2364.16375036041
"PT30",903912580.449929,903.912580449929
"RO11",34240328500.3215,34240.3285003215
"RO12",34091667195.4851,34091.6671954851
"RO21",36837553534.8158,36837.5535348158
"RO22",35439246850.5879,35439.2468505879
"RO31",34494410149.0625,34494.4101490625
"RO32",1703671562.70085,1703.67156270085
"RO41",29430532832.0833,29430.5328320833
"RO42",31785011192.7548,31785.0111927548
"RS11",3248588085.49884,3248.58808549884
"RS12",21376332510.9732,21376.3325109732
"RS21",26529237807.8982,26529.2378078982
"RS22",26081688104.0409,26081.6881040409
"SE11",8172785424.50713,8172.78542450713
"BG341",7853954029.68976,7853.95402968976
"BG342",3401437772.15069,3401.43777215069
"BG343",3478711216.86693,3478.71121686693
"BG344",5232729733.50341,5232.72973350341
"BG411",1185790902.91697,1185.79090291697
"BG412",7306619616.50004,7306.61961650004
"BG413",6575974593.12534,6575.97459312534
"BG414",2424030387.07185,2424.03038707185
"BG415",2949006166.78858,2949.00616678858
"BG421",5831632146.39039,5831.63214639039
"BG422",5648363392.44384,5648.36339244384
"BG423",4459941097.65931,4459.94109765931
"BG424",3374889120.35862,3374.88912035862
"BG425",3199622748.66221,3199.62274866221
"CH011",3193824506.92868,3193.82450692868
"SE32",77340753732.6163,77340.7537326163
"SE33",165447452111.46,165447.45211146
"SI03",12305367182.0355,12305.3671820355
"SI04",7842585866.89738,7842.58586689738
"SK01",2002519241.95962,2002.51924195962
"SK02",14920991650.8189,14920.9916508189
"SK03",16347938135.0128,16347.9381350128
"SK04",15647360227.8842,15647.3602278842
"TR10",5001630205.26239,5001.63020526239
"DE262",64292592.1044573,64.2925921044574
"DE263",84721563.6502649,84.7215636502649
"DE264",612461390.256211,612.461390256211
"DE265",1152071103.68266,1152.07110368266
"DE266",1000282593.01648,1000.28259301648
"DE267",904236511.890452,904.236511890452
"DE268",636132718.848801,636.132718848801
"DE269",755147776.662634,755.147776662634
"DE26A",1339088682.39434,1339.08868239434
"DE26B",892526532.534062,892.526532534062
"DE26C",927051980.533595,927.051980533595
"DE271",111379962.20553,111.37996220553
"DE272",67125897.9901782,67.1258979901781
"DE273",67298674.8807817,67.2986748807817
"DE274",66999010.7489841,66.9990107489841
"UKN0",14039846097.5866,14039.8460975866
"AL013",2371598007.03341,2371.59800703341
"AL015",3612108339.10348,3612.10833910348
"AL014",1625398375.2187,1625.3983752187
"AL011",2463361640.27798,2463.36164027798
"AL012",690744210.411319,690.744210411319
